Leon Draisaitl,Edmonton Oilers,Center,43
Connor McDavid,Edmonton Oilers,Center,34
David Pastrnak,Boston Bruins,Right Wing,48
Artemi Panarin,New York Rangers,Left Wing,32
Nathan MacKinnon,Colorado Avalanche,Center,35
Brad Marchand,Boston Bruins,Left Wing,28
Nikita Kucherov,Tampa Bay Lightning,Right Wing,33
Patrick Kane,Chicago Blackhawks,Right Wing,33
Auston Matthews,Toronto Maple Leafs,Center,47
Jack Eichel,Buffalo Sabres,Center,36
Jonathan Huberdeau,Florida Panthers,Left Wing,23
Mika Zibanejad,New York Rangers,Center,41
John Carlson,Washington Capitals,Defensemen,15
Evgeni Malkin,Pittsburgh Penguins,Center,25
Kyle Connor,Winnipeg Jets,Left Wing,38
Mark Scheifele,Winnipeg Jets,Center,29
J.T. Miller,Vancouver Canucks,Center,27
Alex Ovechkin,Washington Capitals,Left Wing,48
Mitchell Marner,Toronto Maple Leafs,Right Wing,16
Sebastian Aho,Carolina Hurricanes,Center,38
Max Pacioretty,Vegas Golden Knights,Left Wing,32
Steven Stamkos,Tampa Bay Lightning,Center,29
Elias Pettersson,Vancouver Canucks,Center,27
Blake Wheeler,Winnipeg Jets,Right Wing,22
Roman Josi,Nashville Predators,Defensemen,16
Brayden Point,Tampa Bay Lightning,Center,25
Patrik Laine,Winnipeg Jets,Right Wing,28
Mark Stone,Vegas Golden Knights,Right Wing,21
Teuvo Teravainen,Carolina Hurricanes,Left Wing,15
Anze Kopitar,Los Angeles Kings,Center,21
Aleksander Barkov,Florida Panthers,Center,20
Andrei Svechnikov,Carolina Hurricanes,Right Wing,24
Travis Konecny,Philadelphia Flyers,Right Wing,24
Matthew Tkachuk,Calgary Flames,Left Wing,23
Tomas Tatar,Montreal Canadiens,Left Wing,22
Ryan Nugent-Hopkins,Edmonton Oilers,Center,22
Ryan O'Reilly,St. Louis Blues,Center,12
John Tavares,Toronto Maple Leafs,Center,26
David Perron,St. Louis Blues,Left Wing,25
Mathew Barzal,New York Islanders,Center,19
Jonathan Toews,Chicago Blackhawks,Center,18
William Nylander,Toronto Maple Leafs,Right Wing,31
Mike Hoffman,Florida Panthers,Left Wing,29
Sean Couturier,Philadelphia Flyers,Center,22
Ryan Strome,New York Rangers,Center,18
Nikolaj Ehlers,Winnipeg Jets,Left Wing,25
Brayden Schenn,St. Louis Blues,Center,25
Johnny Gaudreau,Calgary Flames,Left Wing,18
Jaden Schwartz,St. Louis Blues,Left Wing,22
Patrice Bergeron,Boston Bruins,Center,31
Bryan Rust,Pittsburgh Penguins,Right Wing,27
Jakub Voracek,Philadelphia Flyers,Right Wing,12
Victor Hedman,Tampa Bay Lightning,Defensemen,11
Elias Lindholm,Calgary Flames,Center,29
Reilly Smith,Vegas Golden Knights,Right Wing,27
Brock Nelson,New York Islanders,Center,26
Kevin Fiala,Minnesota Wild,Left Wing,23
Nicklas Backstrom,Washington Capitals,Center,12
Bo Horvat,Vancouver Canucks,Center,22
Claude Giroux,Philadelphia Flyers,Center,21
Dylan Larkin,Detroit Red Wings,Center,19
Tony DeAngelo,New York Rangers,Defensemen,15
Quinn Hughes,Vancouver Canucks,Defensemen,8
Jakub Vrana,Washington Capitals,Left Wing,25
Evgeny Kuznetsov,Washington Capitals,Center,19
Taylor Hall,Arizona Coyotes,Left Wing,16
Alex Pietrangelo,St. Louis Blues,Defensemen,16
Sam Reinhart,Buffalo Sabres,Center,22
Tyler Seguin,Dallas Stars,Center,17
Cale Makar,Colorado Avalanche,Defensemen,12
Alex Killorn,Tampa Bay Lightning,Left Wing,26
T.J. Oshie,Washington Capitals,Right Wing,26
Timo Meier,San Jose Sharks,Right Wing,22
Pierre-Luc Dubois,Columbus Blue Jackets,Center,18
Torey Krug,Boston Bruins,Defensemen,9
Sean Monahan,Calgary Flames,Center,22
Tyler Bertuzzi,Detroit Red Wings,Left Wing,21
Filip Forsberg,Nashville Predators,Left Wing,21
Ryan Suter,Minnesota Wild,Defensemen,8
